Date,Week,Plant,Department,Model,Issue_Type,Severity,Affected_Units,Status
2026-01-02,W01,Valencia,Quality Check,Mach-E,Equipment Failure,Medium,15,Active
2026-01-02,W01,Cologne,Body Shop,Explorer,Machine Failure,Medium,17,Active
2026-01-02,W01,Cologne,Body Shop,Ranger,Machine Failure,Medium,17,Resolved
2026-01-02,W01,Cologne,Logistics,Fusion,Safety Issue,Medium,14,Resolved
2026-01-02,W01,Chennai,Assembly,Mustang,Inspection Failure,High,20,Active
2026-01-02,W01,Chennai,Logistics,Ranger,Safety Issue,Medium,19,Active
2026-01-02,W01,Pune,Assembly,F-150,Quality Issue,Medium,13,Active
2026-01-02,W01,Pune,Paint Shop,Explorer,Machine Failure,Medium,17,Active
2026-01-02,W01,Pune,Logistics,Escape,Equipment Failure,High,23,Active
2026-01-02,W01,Pune,Paint Shop,Fusion,Inspection Failure,Medium,21,Active
2026-01-02,W01,Sanand,Body Shop,Explorer,Inspection Failure,High,22,Active
2026-01-02,W01,Sanand,Logistics,Bronco,Safety Issue,Medium,24,Resolved
2026-01-02,W01,Sanand,Assembly,Expedition,Machine Failure,Medium,24,Active
2026-01-02,W01,Sanand,Logistics,Mach-E,Equipment Failure,Medium,20,Active
2026-01-03,W01,Dearborn,Paint Shop,Mustang,Machine Failure,Medium,11,Active
2026-01-03,W01,Dearborn,Logistics,Escape,Safety Issue,Medium,11,Active
2026-01-03,W01,Dearborn,Body Shop,Ranger,Safety Issue,Medium,16,Resolved
2026-01-03,W01,Dearborn,Quality Check,Bronco,Quality Issue,Medium,11,Active
2026-01-03,W01,Dearborn,Logistics,Fusion,Equipment Failure,Medium,14,Resolved
2026-01-03,W01,Chicago,Assembly,F-150,Machine Failure,Medium,11,Active
2026-01-03,W01,Chicago,Logistics,Mustang,Equipment Failure,Medium,14,Resolved
2026-01-03,W01,Chicago,Body Shop,Explorer,Quality Issue,Medium,12,Active
2026-01-03,W01,Chicago,Logistics,Edge,Quality Issue,Medium,12,Active
2026-01-03,W01,Chicago,Assembly,Expedition,Inspection Failure,Low,7,Active
2026-01-03,W01,Chicago,Quality Check,Fusion,Machine Failure,Low,10,Resolved
2026-01-03,W01,Detroit,Logistics,Mustang,Inspection Failure,Medium,14,Resolved
2026-01-03,W01,Detroit,Quality Check,Explorer,Quality Issue,High,17,Resolved
2026-01-03,W01,Detroit,Quality Check,Edge,Machine Failure,Low,9,Resolved
2026-01-03,W01,Detroit,Quality Check,Bronco,Inspection Failure,High,20,Active
2026-01-03,W01,Detroit,Logistics,Fusion,Safety Issue,Low,10,Active
2026-01-03,W01,Detroit,Assembly,Mach-E,Machine Failure,Low,10,Active
2026-01-03,W01,Kansas City,Logistics,F-150,Equipment Failure,Medium,9,Active
2026-01-03,W01,Kansas City,Paint Shop,Mustang,Equipment Failure,Medium,14,Resolved
2026-01-03,W01,Kansas City,Logistics,Explorer,Equipment Failure,Low,8,Active
2026-01-03,W01,Kansas City,Assembly,Edge,Quality Issue,Medium,15,Active
2026-01-03,W01,Kansas City,Paint Shop,Fusion,Equipment Failure,High,25,Active
2026-01-03,W01,Kansas City,Logistics,Mach-E,Quality Issue,Medium,12,Resolved
2026-01-03,W01,Louisville,Body Shop,F-150,Safety Issue,Low,7,Active
2026-01-03,W01,Louisville,Logistics,Mustang,Equipment Failure,Medium,10,Active
2026-01-03,W01,Louisville,Quality Check,Explorer,Inspection Failure,Low,8,Active
2026-01-03,W01,Louisville,Quality Check,Edge,Inspection Failure,Low,10,Resolved
2026-01-03,W01,Louisville,Body Shop,Bronco,Machine Failure,Low,8,Active
2026-01-03,W01,Louisville,Paint Shop,Mach-E,Quality Issue,High,22,Resolved
2026-01-03,W01,Valencia,Paint Shop,F-150,Inspection Failure,Medium,11,Resolved
2026-01-03,W01,Valencia,Assembly,Explorer,Inspection Failure,Low,9,Active
2026-01-03,W01,Valencia,Quality Check,Escape,Machine Failure,Low,10,Active
2026-01-03,W01,Valencia,Quality Check,Edge,Machine Failure,Medium,17,Resolved
2026-01-03,W01,Valencia,Assembly,Ranger,Quality Issue,Medium,15,Resolved
2026-01-03,W01,Valencia,Paint Shop,Bronco,Inspection Failure,Medium,13,Active
2026-01-03,W01,Valencia,Logistics,Fusion,Inspection Failure,Medium,13,Active
2026-01-03,W01,Valencia,Logistics,Mach-E,Machine Failure,Medium,16,Active
2026-01-03,W01,Cologne,Assembly,Escape,Safety Issue,Medium,17,Resolved
2026-01-03,W01,Cologne,Assembly,Edge,Safety Issue,High,19,Active
2026-01-03,W01,Cologne,Assembly,Bronco,Equipment Failure,Medium,15,Active
2026-01-03,W01,Cologne,Logistics,Mach-E,Machine Failure,Low,11,Resolved
2026-01-03,W01,Chennai,Paint Shop,Mustang,Quality Issue,High,18,Resolved
2026-01-03,W01,Chennai,Body Shop,Edge,Equipment Failure,Medium,16,Resolved
2026-01-03,W01,Chennai,Assembly,Ranger,Inspection Failure,Medium,15,Resolved
2026-01-03,W01,Chennai,Quality Check,Expedition,Safety Issue,Low,9,Active
2026-01-03,W01,Chennai,Logistics,Fusion,Inspection Failure,Medium,16,Resolved
2026-01-03,W01,Pune,Body Shop,F-150,Quality Issue,Low,7,Resolved
2026-01-03,W01,Pune,Assembly,Mustang,Machine Failure,High,18,Active
2026-01-03,W01,Pune,Paint Shop,Explorer,Equipment Failure,High,21,Resolved
2026-01-03,W01,Pune,Assembly,Edge,Machine Failure,High,19,Active
2026-01-03,W01,Pune,Paint Shop,Expedition,Equipment Failure,Medium,18,Active
2026-01-03,W01,Pune,Body Shop,Fusion,Inspection Failure,High,23,Resolved
2026-01-03,W01,Sanand,Quality Check,Explorer,Safety Issue,Low,8,Active
2026-01-03,W01,Sanand,Paint Shop,Bronco,Quality Issue,Medium,21,Active
2026-01-03,W01,Sanand,Assembly,Fusion,Safety Issue,Medium,14,Active
2026-01-03,W01,Sanand,Logistics,Mach-E,Quality Issue,High,25,Active
2026-01-04,W01,Dearborn,Assembly,F-150,Machine Failure,Medium,13,Resolved
2026-01-04,W01,Dearborn,Paint Shop,Mustang,Equipment Failure,Medium,12,Active
2026-01-04,W01,Dearborn,Body Shop,Escape,Equipment Failure,Medium,15,Active
2026-01-04,W01,Dearborn,Quality Check,Edge,Equipment Failure,Medium,10,Resolved
2026-01-04,W01,Dearborn,Quality Check,Mach-E,Equipment Failure,High,22,Active
2026-01-04,W01,Chicago,Paint Shop,F-150,Inspection Failure,High,17,Resolved
2026-01-04,W01,Chicago,Assembly,Escape,Quality Issue,High,18,Active
2026-01-04,W01,Chicago,Paint Shop,Ranger,Safety Issue,Medium,15,Active
2026-01-04,W01,Chicago,Logistics,Bronco,Quality Issue,Low,9,Active
2026-01-04,W01,Chicago,Paint Shop,Expedition,Machine Failure,High,20,Resolved
2026-01-04,W01,Detroit,Paint Shop,Mustang,Quality Issue,Medium,12,Active
2026-01-04,W01,Detroit,Assembly,Edge,Machine Failure,High,19,Resolved
2026-01-04,W01,Detroit,Quality Check,Bronco,Machine Failure,Medium,15,Resolved
2026-01-04,W01,Detroit,Body Shop,Fusion,Inspection Failure,High,23,Active
2026-01-04,W01,Detroit,Paint Shop,Mach-E,Inspection Failure,Medium,14,Active
2026-01-04,W01,Kansas City,Body Shop,F-150,Inspection Failure,High,17,Active
2026-01-04,W01,Kansas City,Paint Shop,Explorer,Equipment Failure,High,19,Resolved
2026-01-04,W01,Kansas City,Logistics,Escape,Machine Failure,Low,9,Resolved
2026-01-04,W01,Kansas City,Logistics,Edge,Inspection Failure,Low,7,Active
2026-01-04,W01,Kansas City,Paint Shop,Ranger,Equipment Failure,Medium,14,Active
2026-01-04,W01,Kansas City,Assembly,Bronco,Inspection Failure,Low,10,Resolved
2026-01-04,W01,Kansas City,Logistics,Expedition,Equipment Failure,Low,8,Active
2026-01-04,W01,Kansas City,Paint Shop,Fusion,Equipment Failure,Low,11,Resolved
2026-01-04,W01,Louisville,Logistics,Mustang,Quality Issue,High,17,Resolved
2026-01-04,W01,Louisville,Quality Check,Edge,Machine Failure,High,22,Active
2026-01-04,W01,Louisville,Paint Shop,Ranger,Equipment Failure,Medium,13,Resolved
2026-01-04,W01,Louisville,Body Shop,Expedition,Machine Failure,Low,8,Resolved
2026-01-04,W01,Valencia,Body Shop,Mustang,Quality Issue,Medium,11,Active
2026-01-04,W01,Valencia,Assembly,Explorer,Machine Failure,Low,7,Active
2026-01-04,W01,Valencia,Assembly,Edge,Machine Failure,Medium,15,Active
2026-01-04,W01,Valencia,Paint Shop,Ranger,Safety Issue,Medium,19,Active
2026-01-04,W01,Valencia,Quality Check,Expedition,Quality Issue,Medium,18,Resolved
2026-01-04,W01,Valencia,Paint Shop,Fusion,Quality Issue,Medium,15,Resolved
2026-01-04,W01,Valencia,Logistics,Mach-E,Quality Issue,Medium,15,Active
2026-01-04,W01,Cologne,Body Shop,Bronco,Quality Issue,High,22,Resolved
2026-01-04,W01,Cologne,Logistics,Fusion,Inspection Failure,Medium,20,Active
2026-01-04,W01,Chennai,Paint Shop,Escape,Equipment Failure,Medium,18,Resolved
2026-01-04,W01,Chennai,Body Shop,Edge,Inspection Failure,Medium,18,Resolved
2026-01-04,W01,Chennai,Assembly,Ranger,Machine Failure,Medium,19,Resolved
2026-01-04,W01,Chennai,Paint Shop,Expedition,Safety Issue,Medium,14,Resolved
2026-01-04,W01,Chennai,Paint Shop,Fusion,Quality Issue,High,23,Resolved
2026-01-04,W01,Pune,Paint Shop,F-150,Equipment Failure,High,16,Resolved
2026-01-04,W01,Pune,Body Shop,Mustang,Machine Failure,Medium,12,Active
2026-01-04,W01,Pune,Assembly,Escape,Machine Failure,Medium,16,Active
2026-01-04,W01,Pune,Body Shop,Bronco,Quality Issue,Low,10,Resolved
2026-01-04,W01,Pune,Logistics,Fusion,Quality Issue,High,24,Resolved
2026-01-04,W01,Pune,Quality Check,Mach-E,Quality Issue,High,22,Resolved
2026-01-04,W01,Sanand,Assembly,Explorer,Machine Failure,Medium,10,Active
2026-01-04,W01,Sanand,Body Shop,Escape,Equipment Failure,Medium,16,Active
2026-01-04,W01,Sanand,Body Shop,Fusion,Inspection Failure,Medium,21,Active
2026-01-05,W02,Dearborn,Body Shop,F-150,Machine Failure,Medium,17,Active
2026-01-05,W02,Dearborn,Body Shop,Escape,Safety Issue,High,19,Active
2026-01-05,W02,Dearborn,Paint Shop,Edge,Machine Failure,Medium,15,Active
2026-01-05,W02,Dearborn,Body Shop,Expedition,Safety Issue,Medium,20,Active
2026-01-05,W02,Dearborn,Assembly,Fusion,Safety Issue,High,26,Resolved
2026-01-05,W02,Chicago,Body Shop,Explorer,Safety Issue,Low,8,Active
2026-01-05,W02,Chicago,Body Shop,Bronco,Safety Issue,Medium,16,Active
2026-01-05,W02,Chicago,Assembly,Expedition,Equipment Failure,Medium,21,Active
2026-01-05,W02,Detroit,Paint Shop,F-150,Machine Failure,High,17,Resolved
2026-01-05,W02,Detroit,Body Shop,Mustang,Safety Issue,Medium,14,Resolved
2026-01-05,W02,Detroit,Logistics,Explorer,Quality Issue,High,23,Active
2026-01-05,W02,Detroit,Quality Check,Escape,Machine Failure,High,19,Resolved
2026-01-05,W02,Detroit,Body Shop,Mach-E,Machine Failure,High,24,Active
2026-01-05,W02,Kansas City,Paint Shop,F-150,Quality Issue,Medium,14,Active
2026-01-05,W02,Kansas City,Logistics,Mustang,Equipment Failure,Medium,14,Resolved
2026-01-05,W02,Kansas City,Quality Check,Edge,Safety Issue,High,24,Resolved
2026-01-05,W02,Kansas City,Paint Shop,Ranger,Equipment Failure,Low,9,Active
2026-01-05,W02,Kansas City,Quality Check,Bronco,Machine Failure,Medium,13,Active
2026-01-05,W02,Louisville,Paint Shop,Mustang,Equipment Failure,Medium,14,Active
2026-01-05,W02,Louisville,Body Shop,Explorer,Machine Failure,Low,9,Resolved
2026-01-05,W02,Louisville,Assembly,Escape,Equipment Failure,Medium,17,Active
2026-01-05,W02,Valencia,Quality Check,Mustang,Equipment Failure,Medium,13,Active
2026-01-05,W02,Valencia,Paint Shop,Explorer,Inspection Failure,Medium,13,Active
2026-01-05,W02,Valencia,Quality Check,Escape,Equipment Failure,Medium,12,Resolved
2026-01-05,W02,Valencia,Body Shop,Bronco,Equipment Failure,High,23,Resolved
2026-01-05,W02,Valencia,Body Shop,Expedition,Machine Failure,High,23,Active
2026-01-05,W02,Valencia,Assembly,Mach-E,Safety Issue,Medium,19,Active
2026-01-05,W02,Cologne,Assembly,Mustang,Machine Failure,Medium,18,Active
2026-01-05,W02,Cologne,Quality Check,Escape,Quality Issue,Medium,16,Active
2026-01-05,W02,Cologne,Assembly,Edge,Inspection Failure,Low,11,Active
2026-01-05,W02,Cologne,Quality Check,Expedition,Inspection Failure,Medium,20,Resolved
2026-01-05,W02,Cologne,Assembly,Fusion,Machine Failure,High,28,Active
2026-01-05,W02,Cologne,Logistics,Mach-E,Inspection Failure,Medium,23,Resolved
2026-01-05,W02,Chennai,Body Shop,Mustang,Safety Issue,Medium,16,Active
2026-01-05,W02,Chennai,Logistics,Explorer,Equipment Failure,High,21,Resolved
2026-01-05,W02,Chennai,Body Shop,Edge,Quality Issue,Low,10,Active
2026-01-05,W02,Chennai,Body Shop,Ranger,Inspection Failure,Medium,15,Active
2026-01-05,W02,Chennai,Assembly,Expedition,Quality Issue,Medium,24,Active
2026-01-05,W02,Chennai,Body Shop,Fusion,Equipment Failure,Medium,16,Active
2026-01-05,W02,Pune,Paint Shop,Mustang,Quality Issue,Medium,17,Active
2026-01-05,W02,Pune,Paint Shop,Explorer,Quality Issue,Low,9,Resolved
2026-01-05,W02,Pune,Assembly,Ranger,Inspection Failure,Medium,15,Active
2026-01-05,W02,Pune,Body Shop,Bronco,Inspection Failure,Medium,14,Resolved
2026-01-05,W02,Pune,Body Shop,Fusion,Safety Issue,High,30,Resolved
2026-01-05,W02,Sanand,Quality Check,Explorer,Equipment Failure,Medium,20,Resolved
2026-01-05,W02,Sanand,Body Shop,Expedition,Quality Issue,Low,10,Resolved
2026-01-06,W02,Dearborn,Quality Check,F-150,Quality Issue,Low,7,Resolved
2026-01-06,W02,Dearborn,Paint Shop,Mustang,Safety Issue,Medium,13,Active
2026-01-06,W02,Dearborn,Quality Check,Explorer,Safety Issue,High,20,Active
2026-01-06,W02,Dearborn,Logistics,Escape,Safety Issue,Medium,12,Resolved
2026-01-06,W02,Dearborn,Body Shop,Fusion,Equipment Failure,Medium,15,Active
2026-01-06,W02,Dearborn,Assembly,Mach-E,Equipment Failure,High,24,Resolved
2026-01-06,W02,Chicago,Assembly,F-150,Machine Failure,High,19,Resolved
2026-01-06,W02,Chicago,Body Shop,Escape,Safety Issue,Medium,12,Active
2026-01-06,W02,Chicago,Paint Shop,Edge,Equipment Failure,Low,11,Active
2026-01-06,W02,Chicago,Logistics,Ranger,Inspection Failure,Medium,19,Active
2026-01-06,W02,Chicago,Logistics,Bronco,Quality Issue,Medium,17,Active
2026-01-06,W02,Detroit,Assembly,F-150,Machine Failure,High,21,Active
2026-01-06,W02,Detroit,Body Shop,Escape,Inspection Failure,Medium,17,Active
2026-01-06,W02,Detroit,Quality Check,Ranger,Safety Issue,Medium,16,Resolved
2026-01-06,W02,Detroit,Logistics,Bronco,Machine Failure,High,26,Resolved
2026-01-06,W02,Detroit,Paint Shop,Mach-E,Quality Issue,High,25,Active
2026-01-06,W02,Kansas City,Logistics,Explorer,Quality Issue,Medium,12,Resolved
2026-01-06,W02,Kansas City,Paint Shop,Escape,Inspection Failure,Low,10,Active
2026-01-06,W02,Kansas City,Body Shop,Edge,Quality Issue,Medium,18,Active
2026-01-06,W02,Kansas City,Quality Check,Ranger,Quality Issue,Medium,13,Resolved
2026-01-06,W02,Kansas City,Paint Shop,Fusion,Inspection Failure,Medium,22,Active
2026-01-06,W02,Louisville,Assembly,Edge,Safety Issue,Medium,19,Active
2026-01-06,W02,Louisville,Assembly,Expedition,Inspection Failure,Low,12,Resolved
2026-01-06,W02,Valencia,Paint Shop,F-150,Inspection Failure,High,19,Resolved
2026-01-06,W02,Valencia,Logistics,Mustang,Inspection Failure,Medium,17,Resolved
2026-01-06,W02,Valencia,Body Shop,Explorer,Quality Issue,Medium,18,Resolved
2026-01-06,W02,Valencia,Assembly,Escape,Machine Failure,Medium,20,Active
2026-01-06,W02,Valencia,Assembly,Edge,Safety Issue,High,23,Active
2026-01-06,W02,Valencia,Body Shop,Ranger,Inspection Failure,Medium,21,Active
2026-01-06,W02,Valencia,Logistics,Bronco,Equipment Failure,High,24,Resolved
2026-01-06,W02,Valencia,Logistics,Expedition,Inspection Failure,Medium,15,Resolved
2026-01-06,W02,Valencia,Assembly,Fusion,Safety Issue,Medium,24,Active
2026-01-06,W02,Cologne,Paint Shop,F-150,Safety Issue,Low,9,Active
2026-01-06,W02,Cologne,Paint Shop,Mustang,Inspection Failure,High,20,Active
2026-01-06,W02,Cologne,Assembly,Escape,Equipment Failure,High,24,Active
2026-01-06,W02,Cologne,Logistics,Ranger,Inspection Failure,Medium,22,Resolved
2026-01-06,W02,Cologne,Body Shop,Bronco,Safety Issue,High,28,Active
2026-01-06,W02,Cologne,Paint Shop,Expedition,Quality Issue,Low,14,Active
2026-01-06,W02,Cologne,Logistics,Fusion,Inspection Failure,High,26,Resolved
2026-01-06,W02,Cologne,Quality Check,Mach-E,Safety Issue,Medium,15,Active
2026-01-06,W02,Chennai,Paint Shop,F-150,Equipment Failure,Medium,12,Active
2026-01-06,W02,Chennai,Assembly,Mustang,Equipment Failure,High,24,Resolved
2026-01-06,W02,Chennai,Body Shop,Explorer,Inspection Failure,Low,10,Resolved
2026-01-06,W02,Chennai,Logistics,Escape,Safety Issue,Medium,16,Active
2026-01-06,W02,Chennai,Paint Shop,Ranger,Inspection Failure,High,26,Resolved
2026-01-06,W02,Chennai,Assembly,Expedition,Safety Issue,Medium,24,Resolved
2026-01-06,W02,Chennai,Assembly,Fusion,Quality Issue,Low,12,Active
2026-01-06,W02,Pune,Paint Shop,F-150,Inspection Failure,Low,9,Active
2026-01-06,W02,Pune,Paint Shop,Mustang,Equipment Failure,High,25,Active
2026-01-06,W02,Pune,Paint Shop,Explorer,Inspection Failure,Medium,14,Active
2026-01-06,W02,Pune,Body Shop,Ranger,Quality Issue,Low,13,Active
2026-01-06,W02,Pune,Logistics,Fusion,Safety Issue,High,28,Resolved
2026-01-06,W02,Pune,Quality Check,Mach-E,Inspection Failure,High,30,Active
2026-01-06,W02,Sanand,Paint Shop,F-150,Machine Failure,Medium,18,Active
2026-01-06,W02,Sanand,Quality Check,Mustang,Machine Failure,High,21,Active
2026-01-06,W02,Sanand,Logistics,Edge,Equipment Failure,Medium,14,Active
2026-01-06,W02,Sanand,Assembly,Ranger,Machine Failure,Medium,15,Resolved
2026-01-06,W02,Sanand,Assembly,Bronco,Safety Issue,Low,13,Resolved
2026-01-06,W02,Sanand,Logistics,Mach-E,Inspection Failure,Medium,18,Resolved
2026-01-07,W02,Dearborn,Body Shop,Mustang,Equipment Failure,High,20,Active
2026-01-07,W02,Dearborn,Paint Shop,Explorer,Safety Issue,Medium,17,Active
2026-01-07,W02,Dearborn,Quality Check,Escape,Equipment Failure,Medium,15,Resolved
2026-01-07,W02,Dearborn,Logistics,Ranger,Quality Issue,Low,11,Resolved
2026-01-07,W02,Dearborn,Paint Shop,Bronco,Equipment Failure,Medium,15,Active
2026-01-07,W02,Dearborn,Assembly,Expedition,Safety Issue,Low,10,Active
2026-01-07,W02,Dearborn,Assembly,Fusion,Inspection Failure,High,23,Active
2026-01-07,W02,Dearborn,Logistics,Mach-E,Equipment Failure,Medium,20,Active
2026-01-07,W02,Chicago,Quality Check,Mustang,Machine Failure,Medium,13,Resolved
2026-01-07,W02,Chicago,Logistics,Bronco,Inspection Failure,Medium,19,Resolved
2026-01-07,W02,Chicago,Logistics,Fusion,Machine Failure,Medium,20,Active
2026-01-07,W02,Detroit,Assembly,Mustang,Inspection Failure,High,18,Active
2026-01-07,W02,Detroit,Paint Shop,Explorer,Safety Issue,High,20,Active
2026-01-07,W02,Detroit,Assembly,Escape,Equipment Failure,Medium,17,Active
2026-01-07,W02,Detroit,Assembly,Edge,Machine Failure,Medium,19,Resolved
2026-01-07,W02,Detroit,Body Shop,Ranger,Equipment Failure,Medium,15,Active
2026-01-07,W02,Detroit,Quality Check,Bronco,Machine Failure,Medium,16,Active
2026-01-07,W02,Detroit,Body Shop,Expedition,Inspection Failure,High,24,Resolved
2026-01-07,W02,Detroit,Paint Shop,Fusion,Safety Issue,High,24,Resolved
2026-01-07,W02,Kansas City,Logistics,Mustang,Machine Failure,Low,10,Active
2026-01-07,W02,Kansas City,Logistics,Explorer,Safety Issue,High,20,Active
2026-01-07,W02,Kansas City,Logistics,Bronco,Inspection Failure,Low,11,Resolved
2026-01-07,W02,Kansas City,Body Shop,Expedition,Safety Issue,Medium,13,Resolved
